model	EX_cpd00104_e	EX_cpd00540_e	EX_cpd00210_e	EX_cpd00039_e	EX_cpd11575_e	EX_cpd00161_e	EX_cpd00060_e	EX_cpd00176_e	EX_cpd11640_e	EX_cpd00249_e	EX_cpd00092_e	EX_cpd00033_e	EX_cpd00244_e	EX_cpd10516_e	EX_cpd11579_e	EX_cpd00048_e	EX_cpd00159_e	EX_cpd00421_e	EX_cpd11583_e	EX_cpd01080_e	EX_cpd00129_e	EX_cpd03422_e	EX_cpd00307_e	EX_cpd00246_e	EX_cpd00108_e	EX_cpd00186_e	EX_cpd00395_e	EX_cpd00098_e	EX_cpd00136_e	EX_cpd01017_e	EX_cpd00099_e	EX_cpd00355_e	EX_cpd11591_e	EX_cpd00550_e	EX_cpd01242_e	EX_cpd00119_e	EX_cpd08306_e	EX_cpd00122_e	EX_cpd00794_e	EX_cpd03847_e	EX_cpd08305_e	EX_cpd00971_e	EX_cpd11587_e	EX_cpd11581_e	EX_cpd15237_e	EX_cpd00655_e	EX_cpd00111_e	EX_cpd01171_e	EX_cpd00224_e	EX_cpd11595_e	EX_cpd15606_e	EX_cpd00226_e	EX_cpd00162_e	EX_cpd00357_e	EX_cpd00073_e	EX_cpd00214_e	EX_cpd11593_e	EX_cpd00281_e	EX_cpd00220_e	EX_cpd00644_e	EX_cpd00054_e	EX_cpd00268_e	EX_cpd11582_e	EX_cpd00024_e	EX_cpd00588_e	EX_cpd00158_e	EX_cpd00118_e	EX_cpd00137_e	EX_cpd00216_e	EX_cpd01217_e	EX_cpd00438_e	EX_cpd00209_e	EX_cpd11585_e	EX_cpd01133_e	EX_cpd00115_e	EX_cpd11590_e	EX_cpd00133_e	EX_cpd00126_e	EX_cpd00309_e	EX_cpd00322_e	EX_cpd00012_e	EX_cpd11580_e	EX_cpd00141_e	EX_cpd11594_e	EX_cpd00006_e	EX_cpd00027_e	EX_cpd00045_e	EX_cpd02227_e	EX_cpd00681_e	EX_cpd00179_e	EX_cpd11596_e	EX_cpd00241_e	EX_cpd00063_e	EX_cpd03696_e	EX_cpd00076_e	EX_cpd11574_e	EX_cpd00121_e	EX_cpd15604_e	EX_cpd00117_e	EX_cpd00138_e	EX_cpd02027_e	EX_cpd01914_e	EX_cpd00149_e	EX_cpd00653_e	EX_cpd03279_e	EX_cpd10515_e	EX_cpd00023_e	EX_cpd00305_e	EX_cpd11578_e	EX_cpd00041_e	EX_cpd01329_e	EX_cpd00100_e	EX_cpd00393_e	EX_cpd00516_e	EX_cpd00058_e	EX_cpd00018_e	EX_cpd00007_e	EX_cpd15605_e	EX_cpd00531_e	EX_cpd00047_e	EX_cpd11592_e	EX_cpd00091_e	EX_cpd11606_e	EX_cpd00367_e	EX_cpd00069_e	EX_cpd00266_e	EX_cpd04097_e	EX_cpd03198_e	EX_cpd00254_e	EX_cpd00064_e	EX_cpd00654_e	EX_cpd00314_e	EX_cpd00001_e	EX_cpd00028_e	EX_cpd08023_e	EX_cpd00182_e	EX_cpd00034_e	EX_cpd00277_e	EX_cpd00081_e	EX_cpd00132_e	EX_cpd00359_e	EX_cpd01092_e	EX_cpd00298_e	EX_cpd03724_e	EX_cpd00156_e	EX_cpd03048_e	EX_cpd01188_e	EX_cpd00030_e	EX_cpd11576_e	EX_cpd00288_e	EX_cpd00311_e	EX_cpd00797_e	EX_cpd00009_e	EX_cpd00035_e	EX_cpd01030_e	EX_cpd11588_e	EX_cpd00036_e	EX_cpd00215_e	EX_cpd00080_e	EX_cpd00870_e	EX_cpd00205_e	EX_cpd00222_e	EX_cpd00082_e	EX_cpd00010_e	EX_cpd00051_e	EX_cpd00492_e	EX_cpd03091_e	EX_cpd00107_e	EX_cpd00184_e	EX_cpd11586_e	EX_cpd00528_e	EX_cpd00264_e	EX_cpd00208_e	EX_cpd00084_e	EX_cpd00637_e	EX_cpd00075_e	EX_cpd15603_e	EX_cpd11589_e	EX_cpd00218_e	EX_cpd15269_e	EX_cpd00154_e	EX_cpd01262_e	EX_cpd11584_e	EX_cpd00013_e	EX_cpd11597_e	EX_cpd00105_e	EX_cpd00793_e	EX_cpd00017_e	EX_cpd00696_e	EX_cpd09878_e	EX_cpd00067_e	EX_cpd00065_e	EX_cpd00066_e	EX_cpd00130_e	EX_cpd00046_e	EX_cpd00412_e	EX_cpd00276_e	EX_cpd00106_e	EX_cpd00053_e	EX_cpd01012_e	EX_cpd00011_e	EX_cpd00038_e
1381116.3	0	1	1	1	1	0	1	0	0	0	1	1	0	1	1	1	0	0	1	1	0	0	0	0	0	0	1	1	0	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	1	1	1	0	1	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	1	1	0	1	0	0	0	1	0	0	1	1	1	0	1	1	1	0	1	1	1	1	0	1	1	0	0	1	0	1	1	0	1	1	1	0	1	0	1	1	1	0	1	0	1	0	0	0	1	1	1	0	0	1	1	1	1	0	1	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	1	0	1	1	0	0	1	0	1	1	1	0	1	0	0	0	0	1	0	1	1	0	1	0	1	1	0	0	1	1	1	1	1	1	0	0	0	1	1	1	0	0	0	0	1	0	1	1	1	0
1381118.3	0	0	0	1	0	0	1	0	0	0	1	1	0	1	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	1	1	0	0	1	1	1	0	0	0	1	0	0	1	1	0	0	0	0	1	1	1	0	1	0	1	1	1	1	1	0	0	0	0	0	1	0	0	1	0	0	1	1	0	1	0	0	1	1	0	0	0	1	0	0	1	1	1	0	0	1	1	1	0	1	1	0	0	0	1	1	0	0	1	1	1	1	1	0	1	1	1	0	1	0	1	0	0	0	1	0	1	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	1	0	1	1	1	0	1	0	1	0	1	1	0	0	1	0	1	0	1	1	1	0	0	0	0	1	0	1	0	0	1	0	1	1	0	0	0	1	1	1	0	0	0	0	0	0	1	1	0	1	0	0	1	0	1	1	1	0
1381119.3	0	0	0	1	0	0	1	0	0	0	1	1	0	1	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	1	1	0	0	1	1	1	0	0	0	1	0	0	1	1	0	0	0	0	1	0	1	1	1	0	1	1	1	1	0	0	0	0	0	0	1	0	0	1	0	0	1	1	1	1	0	0	0	1	0	0	0	1	0	0	1	1	1	0	0	1	1	1	0	1	1	0	0	0	1	1	0	0	0	1	1	1	1	0	1	1	1	0	1	0	1	0	0	0	1	0	1	1	0	1	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	0	1	1	0	0	1	0	1	0	1	1	1	0	0	0	0	1	0	1	1	0	1	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	1	1	0	1	0	0	1	0	1	1	1	0
1381124.3	1	0	0	1	0	0	1	0	0	0	1	1	1	1	0	1	0	0	0	1	0	0	1	0	1	0	0	0	1	0	1	1	0	1	0	1	0	1	1	0	0	1	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	1	0	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	1	1	1	0	0	0	1	1	0	1	1	0	0	1	1	1	0	0	0	1	1	0	1	0	1	0	1	0	0	0	1	0	1	0	1	0	1	1	0	1	1	1	0	0	1	0	0	0	0	1	0	0	1	0	0	1	1	0	0	0	1	0	1	0	0	0	1	0	1	1	1	1	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	1	0	0	1	0	1	1	1	0
1382301.3	1	1	0	1	0	0	1	0	0	0	1	1	0	1	0	1	1	0	1	1	0	0	1	0	1	0	0	1	0	1	1	1	1	1	0	0	1	1	1	0	1	1	1	1	0	0	0	1	0	0	1	1	0	0	0	0	1	0	1	1	1	0	1	1	1	1	0	0	0	0	0	0	1	0	0	1	0	0	1	1	0	1	0	0	0	1	0	0	1	1	0	0	1	1	1	0	0	1	1	1	0	1	1	0	0	1	1	1	0	0	0	1	1	0	1	0	1	1	1	0	1	0	1	0	0	0	1	0	1	0	0	1	1	1	0	0	1	0	0	0	0	1	0	0	1	0	1	1	1	0	0	0	1	0	1	1	0	0	1	0	1	1	1	0	0	0	0	0	0	1	0	1	0	0	1	0	1	1	0	0	1	0	1	1	1	1	0	0	0	0	1	0	0	1	0	0	1	0	1	1	1	0
1382366.3	1	1	0	1	0	0	1	0	0	0	1	1	0	1	0	1	1	0	1	1	0	0	1	0	1	0	0	1	0	1	1	1	1	1	0	0	1	1	1	0	1	1	1	1	0	0	0	1	1	0	1	1	0	0	0	0	1	0	1	1	1	0	1	1	1	1	0	0	0	0	0	0	1	0	0	1	0	0	1	1	0	1	0	0	0	1	0	0	1	1	0	0	1	1	1	0	0	1	1	1	0	1	1	0	0	1	1	1	0	0	0	1	1	0	1	0	1	1	1	0	1	0	1	0	0	0	1	0	1	0	0	1	1	1	0	0	1	0	0	0	0	1	0	1	1	0	1	1	1	0	0	0	1	0	1	1	0	0	1	0	1	1	1	0	0	0	0	0	0	1	0	1	0	0	1	0	1	1	0	0	1	0	1	1	1	1	0	0	0	0	1	0	0	1	0	0	1	0	1	1	1	0
1384064.3	0	1	0	1	0	0	1	1	0	0	1	1	1	1	0	0	0	0	1	1	0	0	1	0	1	0	0	1	0	1	1	1	1	1	0	0	1	1	1	0	1	1	1	1	0	0	0	1	1	0	1	1	0	0	0	1	1	1	1	1	1	0	1	0	1	0	1	0	0	0	0	0	1	0	0	1	0	0	1	1	0	1	0	0	0	1	0	0	1	1	0	0	1	1	1	0	0	1	1	1	0	1	1	0	0	0	1	1	0	1	0	1	1	1	1	0	1	1	1	0	1	0	1	0	0	0	1	0	1	1	0	1	1	1	0	0	1	0	0	0	0	1	0	0	1	0	0	1	1	0	0	0	1	0	1	1	0	0	1	0	1	1	1	0	1	0	0	0	0	1	0	1	1	0	1	0	1	1	0	0	1	0	1	1	1	0	0	0	0	0	1	1	0	0	0	0	1	0	1	1	1	0
1385855.3	1	1	0	1	0	0	1	0	0	0	1	1	0	1	0	1	1	0	1	1	0	0	1	0	1	0	0	1	0	1	1	1	1	1	0	0	1	1	1	0	1	1	1	1	0	0	0	1	1	0	1	1	0	0	0	0	1	0	1	1	1	0	1	1	1	1	0	0	0	0	0	0	1	0	0	1	0	0	1	1	0	1	0	0	0	1	0	0	1	1	0	0	1	1	1	0	0	1	1	1	0	1	1	0	0	1	1	1	0	0	0	1	1	0	1	0	1	1	1	0	1	0	1	0	0	0	1	0	1	0	0	1	1	1	0	0	1	0	0	0	0	1	0	0	1	0	1	1	1	0	0	0	1	0	1	1	0	0	1	0	1	1	1	0	0	0	0	0	0	1	0	1	0	0	1	0	1	1	0	0	1	0	1	1	1	1	0	0	0	0	1	0	0	1	0	0	1	0	1	1	1	0
1385856.3	1	1	0	1	0	0	1	0	0	0	1	1	0	1	0	1	1	0	1	1	0	0	1	0	0	0	0	1	0	1	1	1	1	1	0	0	1	1	1	0	1	1	1	1	0	0	0	1	0	0	1	1	0	0	0	0	1	0	1	1	1	0	1	1	1	1	0	1	0	0	0	0	1	0	0	1	0	0	1	1	0	1	0	0	0	1	0	0	1	1	0	0	1	1	1	0	0	1	1	1	0	1	1	0	0	1	1	1	0	0	0	1	1	0	1	0	1	1	1	0	1	0	1	0	0	0	1	0	1	0	0	1	1	1	0	0	1	0	0	0	0	1	0	1	1	0	1	1	1	0	0	0	1	0	1	1	1	0	1	0	1	1	1	0	0	0	0	0	0	1	0	1	0	0	1	0	1	1	0	0	1	0	1	1	1	1	0	0	0	0	1	0	0	1	0	0	1	0	1	1	1	0
1390373.4	1	1	0	1	0	0	1	0	0	0	1	1	0	1	0	1	1	0	1	1	0	0	1	0	0	0	0	1	0	1	1	1	1	1	0	0	1	1	1	0	1	1	1	1	0	0	0	1	0	0	1	1	0	0	0	0	1	0	1	1	1	0	1	1	1	1	0	0	0	0	0	0	1	0	0	1	0	0	1	1	0	1	0	0	0	1	0	0	1	1	0	0	1	1	1	0	0	1	1	1	0	1	1	0	0	1	1	1	0	0	0	1	1	0	1	0	1	1	1	0	1	0	1	0	0	0	1	0	1	0	0	1	1	1	0	0	1	0	0	0	0	1	0	0	1	0	1	1	1	0	0	0	1	0	1	1	0	0	1	0	1	1	1	0	0	0	0	0	0	1	0	1	0	0	1	0	1	1	0	0	1	0	1	1	1	1	0	0	0	0	1	0	0	1	0	0	1	0	1	1	1	0
1390383.3	0	1	1	1	1	0	1	1	0	0	1	1	0	1	1	1	0	0	1	1	0	0	0	0	0	0	1	1	0	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	1	1	1	0	1	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	1	1	0	1	0	0	0	1	0	0	1	1	1	0	1	1	1	0	1	1	1	1	0	1	1	0	0	1	0	1	1	0	1	1	1	0	1	0	1	1	1	0	1	0	1	0	0	0	1	1	1	0	0	1	1	1	1	0	1	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	1	0	1	1	0	0	1	0	1	1	1	0	1	0	0	0	0	1	0	1	1	0	1	0	1	1	0	0	1	1	1	1	1	1	0	0	0	1	1	1	0	0	0	0	1	0	1	1	1	0
1390384.3	0	1	1	1	1	0	1	1	0	0	1	1	0	1	1	1	0	0	1	1	0	0	0	0	0	0	1	1	0	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	1	1	1	0	1	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	1	1	0	1	0	0	0	1	0	0	1	1	1	0	1	1	1	0	1	1	1	1	0	1	1	0	0	1	0	1	1	0	1	1	1	0	1	0	1	1	1	0	1	0	1	0	0	0	1	1	1	0	0	1	1	1	1	0	1	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	1	0	1	1	0	0	1	0	1	1	1	0	1	0	0	0	0	1	0	1	1	0	1	0	1	1	0	0	1	1	1	1	1	1	0	0	0	1	1	1	0	0	0	0	1	0	1	1	1	0
1390386.3	0	1	1	1	1	0	1	1	0	0	1	1	0	1	1	1	0	0	1	1	0	0	0	0	0	0	1	1	0	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	1	1	1	0	1	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	1	1	0	1	0	0	0	1	0	0	1	1	1	0	1	1	1	0	1	1	1	1	0	1	1	0	0	1	0	1	1	0	1	1	1	0	1	0	1	1	1	0	1	0	1	0	0	0	1	1	1	0	0	1	1	1	1	0	1	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	1	0	1	1	0	0	1	0	1	1	1	0	1	0	0	0	0	1	0	1	1	0	1	0	1	1	0	0	1	1	1	1	1	1	0	0	0	1	1	1	0	0	0	0	1	0	1	1	1	0
1392007.3	1	0	0	1	0	0	1	0	0	0	1	1	1	1	0	1	0	0	1	1	0	1	0	0	0	0	0	0	1	1	1	0	1	1	0	0	0	1	1	0	0	1	1	1	0	0	0	1	0	0	1	1	0	0	0	0	1	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	0	1	0	0	1	1	0	0	0	1	0	0	1	1	1	0	0	1	1	1	0	1	1	0	0	0	1	1	0	0	0	1	1	0	1	0	1	1	1	0	1	0	1	0	0	0	1	0	1	1	0	1	1	1	0	0	1	0	0	0	0	0	0	0	1	0	1	1	1	0	1	0	1	0	1	1	0	0	0	0	1	0	1	1	1	0	0	0	0	1	0	1	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	1	1	0
1399793.4	1	1	0	1	0	0	1	0	0	0	1	1	0	1	0	1	1	0	1	1	0	0	0	0	1	0	0	1	0	1	1	1	1	1	0	0	1	1	1	0	1	1	1	1	0	0	0	1	1	0	1	1	0	0	0	0	1	0	1	1	1	0	1	1	1	1	0	1	0	0	0	0	1	0	0	1	0	0	1	1	0	1	0	0	0	1	0	0	1	1	0	0	1	1	1	0	0	1	1	1	0	1	1	0	0	1	1	1	0	0	0	1	1	0	1	0	1	1	1	0	1	0	1	0	0	0	1	0	1	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	1	0	1	1	1	0	1	0	1	1	1	0	0	0	0	0	0	1	0	1	0	0	1	0	1	1	0	0	1	0	1	1	1	1	0	0	0	0	1	1	0	1	0	0	1	0	1	1	1	0
1400520.3	0	1	0	1	0	0	1	0	0	0	1	1	0	1	0	1	1	0	1	1	0	0	1	0	1	0	0	1	0	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	0	0	0	1	1	0	1	1	0	0	0	0	1	0	1	1	1	0	1	1	1	1	0	0	0	0	0	0	1	0	0	1	0	0	1	1	0	1	0	0	0	1	0	0	1	1	0	0	1	1	1	0	1	1	1	1	0	1	1	0	0	0	1	1	0	0	0	1	1	0	1	0	1	1	1	0	1	0	1	0	0	0	1	0	1	0	0	1	1	1	0	0	1	0	0	0	0	1	0	0	1	0	1	1	1	0	0	0	1	0	1	1	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	1	0	0	1	0	1	1	0	0	1	0	1	1	1	1	0	0	0	0	1	1	0	1	0	0	1	0	1	1	1	0
1402207.4	1	0	0	1	0	0	1	0	0	0	0	1	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	1	1	0	0	1	1	1	0	0	0	1	0	0	1	1	0	0	0	0	1	0	1	1	1	0	1	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	1	1	0	1	0	0	0	1	0	0	0	1	0	0	1	1	1	0	0	1	1	1	0	1	1	0	0	1	0	1	0	0	0	1	1	0	1	0	1	1	1	0	1	0	1	0	0	0	1	0	1	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	1	0	1	1	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	1	0	0	1	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	1	1	0
1402208.3	1	0	0	1	0	0	1	0	0	0	1	1	0	1	0	1	0	0	1	1	0	1	1	0	0	0	0	0	0	1	1	0	1	1	0	0	0	1	1	0	0	1	1	1	0	0	0	1	0	0	1	1	0	0	0	0	1	0	1	1	1	0	1	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	1	1	0	1	0	0	0	1	0	0	0	1	0	0	1	1	1	0	0	1	1	1	0	1	1	0	0	1	0	1	0	0	0	1	1	1	1	0	1	1	1	0	1	0	1	0	0	0	1	0	1	0	0	1	1	1	0	0	1	0	0	0	0	1	0	0	1	0	1	1	1	0	0	0	1	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	1	0	0	1	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	1	1	0
1403312.3	0	1	0	1	0	0	1	0	0	0	1	1	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	1	1	1	0	1	1	1	1	0	0	0	1	0	0	1	1	0	0	0	0	1	1	1	1	1	0	1	1	1	1	1	0	0	0	0	0	1	0	0	1	0	0	1	1	0	1	0	0	0	1	0	0	0	1	0	0	1	1	1	0	0	1	1	1	0	1	1	0	0	0	1	1	0	0	0	1	1	1	1	0	1	1	1	0	1	0	1	0	0	0	1	0	1	1	0	1	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	0	1	1	0	0	1	0	1	0	1	0	1	0	0	0	0	1	0	1	1	0	1	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	1	1	0	1	0	0	1	0	0	1	1	0
1403542.3	1	1	0	1	0	0	1	0	0	0	1	1	0	1	0	1	1	0	1	1	0	0	1	0	1	0	0	1	0	1	1	1	1	1	0	0	1	1	1	0	1	1	1	1	0	0	0	1	1	0	1	1	0	0	0	0	1	0	1	1	1	0	1	1	1	1	0	0	0	0	0	0	1	0	0	1	0	0	1	1	0	1	0	0	0	1	0	0	1	1	0	0	1	1	1	0	0	1	1	1	0	1	1	0	0	1	1	1	0	0	0	1	1	0	1	0	1	1	1	0	1	0	1	0	0	0	1	0	1	0	0	1	1	1	0	0	1	0	0	0	0	1	0	1	1	0	1	1	1	0	0	0	1	0	1	1	0	0	1	0	1	1	1	0	0	0	0	0	0	1	0	1	0	0	1	0	1	1	0	0	1	0	1	1	1	1	0	0	0	0	1	1	0	1	0	0	1	0	1	1	1	0
1407052.3	1	0	0	1	0	0	1	0	0	0	1	1	1	1	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	1	1	0	1	0	0	0	1	1	0	0	1	0	0	0	1	1	1	1	0	0	1	0	0	0	0	0	0	1	0	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	1	1	1	0	0	0	1	1	0	1	1	0	0	1	1	1	0	0	0	1	1	0	1	0	1	0	1	0	0	0	1	0	1	0	1	0	1	1	0	1	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	0	1	0	0	0	1	0	1	1	1	1	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	1	1	1	0	0	1	0	1	1	1	0
1408180.3	0	1	1	1	1	0	1	0	0	0	1	1	0	1	1	1	0	0	1	1	0	0	0	0	0	0	1	1	0	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	1	1	1	0	1	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	1	1	0	1	0	0	0	1	0	0	1	1	1	0	1	1	1	0	1	1	1	1	0	1	1	0	0	1	0	1	1	0	1	1	1	0	1	0	1	1	1	0	1	0	1	0	0	0	1	1	1	0	0	1	1	1	1	0	1	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	1	0	1	1	0	0	1	0	1	1	1	0	1	0	0	0	0	1	0	1	1	0	1	0	1	1	0	0	1	1	1	1	1	1	0	0	0	1	1	1	0	0	0	0	1	0	1	1	1	0
1408186.3	0	1	0	1	0	0	1	0	0	0	1	1	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	1	1	1	0	1	1	1	1	0	1	0	1	0	0	1	1	0	0	0	0	1	1	1	0	1	0	1	0	1	1	1	0	0	0	0	0	1	0	0	1	0	0	1	1	0	1	0	0	1	1	0	0	0	1	0	0	1	1	1	0	0	1	1	1	0	1	1	0	0	0	1	1	0	0	0	1	1	1	1	0	1	1	1	0	1	0	1	0	0	0	1	0	1	1	0	1	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	0	1	1	0	0	1	0	1	0	1	1	1	0	0	0	0	1	0	1	0	0	1	0	1	1	0	0	0	0	1	0	1	1	0	0	0	0	1	1	0	0	0	0	1	0	0	1	1	0
1408205.4	0	1	1	1	1	0	1	0	0	0	1	1	0	1	1	1	0	0	1	1	0	0	0	0	0	0	1	1	0	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	1	1	1	0	1	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	1	1	0	1	0	0	0	1	0	0	1	1	1	0	1	1	1	0	1	1	1	1	0	1	1	0	0	1	0	1	1	0	1	1	1	0	1	0	1	1	1	0	1	0	1	0	0	0	1	1	1	0	0	1	1	1	1	0	1	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	1	0	1	1	0	0	1	0	1	1	1	0	1	0	0	0	0	1	0	1	1	0	1	0	1	1	0	0	1	1	1	1	1	1	0	0	0	1	1	1	0	0	0	0	1	0	1	1	1	0
1408443.3	1	0	0	1	0	0	1	0	0	0	1	1	1	1	0	1	0	0	1	1	0	0	1	0	1	0	0	0	0	0	1	1	0	1	0	0	0	1	1	0	0	1	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	1	0	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	1	1	1	0	0	0	1	1	0	1	1	0	0	1	1	1	0	0	0	1	1	0	1	0	1	0	1	0	0	0	1	0	1	0	1	0	1	1	0	1	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	1	0	1	1	1	1	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	1	1	1	0	0	1	0	1	1	1	0
1419324.3	1	1	0	1	0	0	1	0	0	0	1	1	0	1	0	1	0	0	1	1	0	1	0	0	0	0	0	0	1	1	1	0	1	1	0	0	1	0	0	0	1	1	1	1	0	1	0	0	0	0	1	1	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	1	0	1	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	1	1	0	0	0	1	1	0	0	0	1	1	0	1	0	1	1	1	0	1	0	1	0	0	0	1	0	1	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	1	1	0	1	1	0	0	0	0	1	0	1	0	0	1	0	1	1	0	0	0	0	1	1	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0
1421011.3	0	0	0	1	0	0	1	0	0	0	1	1	0	1	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	1	1	0	1	1	1	0	0	1	1	0	0	1	1	1	0	0	0	1	0	0	1	1	1	1	0	0	1	1	1	0	1	0	1	0	1	1	1	0	0	0	1	0	1	0	0	1	0	0	1	1	0	1	0	0	1	1	0	0	0	1	0	0	1	1	1	0	0	1	1	1	0	1	1	0	0	0	1	1	0	0	1	1	1	1	1	1	1	1	1	0	1	0	1	0	0	0	1	0	1	0	0	1	1	1	0	0	1	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	0	1	1	0	0	0	0	1	0	1	1	1	0	0	0	0	1	0	1	0	0	1	0	1	1	0	0	0	1	1	1	0	1	0	1	0	0	1	1	0	0	0	0	1	0	0	1	1	1
1421011.4	0	0	0	1	0	0	1	0	0	0	1	1	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	1	1	0	0	1	1	1	0	0	0	1	0	0	1	1	0	0	0	0	1	1	1	1	1	0	1	0	1	1	1	0	0	0	0	0	1	0	0	1	0	0	1	1	0	1	0	0	0	1	0	1	0	1	0	0	1	1	1	0	0	1	1	1	0	1	1	0	0	0	1	1	0	0	1	1	1	1	1	0	1	1	1	0	1	0	1	0	0	0	1	0	1	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	0	1	1	0	0	1	0	1	0	1	0	1	0	0	0	0	1	0	1	0	0	1	0	1	1	0	0	0	1	1	1	0	1	0	0	0	0	1	1	0	0	0	0	1	0	1	1	1	0
